"LeafID","LeafLength_cm","LeafWidth_cm","day"
"01","1.95","0.74","1"
"02","2.4","0.49","1"
"03","2.01","0.79","1"
"04","1.61","0.71","1"
"05","3.49","1.58","1"
"06","3.18","1.43","1"
"07","3.06","1.31","1"
"08","2.72","1.22","1"
"09","1.81","0.73","1"
"10","2.08","0.77","1"
"11","2.3","0.89","1"
"12","2.51","1.04","1"
"13","2.33","0.96","1"
"14","1.37","0.59","1"
"15","3.58","1.95","1"
"16","2.45","1.06","1"
"17","2.75","1.16","1"
"18","2.81","1.33","1"
"19","2.81","1.2","1"
"20","2.55","1.12","1"
"21","1.85","0.88","1"
"22","2.48","1.15","1"
"23","2.85","1.34","1"
"24","2.35","0.91","1"
"25","3.44","1.63","1"
"26","1.6","1.15","1"
"27","3.09","1.33","1"
"28","2.41","1.05","1"
"29","2.05","1.06","1"
"30","2.17","0.91","1"
"31","3.18","1.78","1"
"32","2.89","1.16","1"
"33","2.81","1.13","1"
"34","2.98","1.29","1"
"35","2.5","1.18","1"
"36","2.84","1.39","1"
"37","2.35","1.26","1"
"38","3.46","1.45","1"
"39","2.41","1.07","1"
"40","3.61","1.87","1"
"41","2.15","0.91","1"
"42","2.37","1.01","1"
"43","2.33","0.92","1"
"44","2.31","0.9","1"
"45","2.33","0.96","1"
"46","2.29","0.98","1"
"47","3.85","1.81","1"
"48","2.95","0.94","1"
"49","2.78","1.23","1"
"50","2.38","1.02","1"
"51","2.69","1.06","1"
"52","3.27","1.61","1"
"53","2.78","1.19","1"
"54","2.93","1.24","1"
"55","2.41","0.98","1"
"56","2.69","1.11","1"
"57","2.45","1.03","1"
"58","2.39","1.09","1"
"59","2.37","0.96","1"
"60","2.09","0.81","1"
"61","2.26","0.77","1"
"62","2.05","0.79","1"
"63","3.06","1.31","1"
"64","3.37","1.61","1"
"65","2.49","0.94","1"
"66","2.62","1.09","1"
"67","1.94","0.75","1"
"68","2.84","1.21","1"
"69","2.09","0.79","1"
"70","2.67","1.09","1"
"01","2.1","0.8","2"
"02","2.61","1","2"
"03","2.11","0.78","2"
"04","1.75","0.73","2"
"05","3.75","1.75","2"
"06","3.45","1.55","2"
"07","3.35","1.47","2"
"08","2.95","1.34","2"
"09","1.83","0.79","2"
"10","2.1","0.81","2"
"11","2.41","0.96","2"
"12","2.69","1.09","2"
"13","2.45","1.02","2"
"14","1.5","0.61","2"
"15","4.01","2.12","2"
"16","2.62","1.14","2"
"17","2.88","1.25","2"
"18","3.02","1.41","2"
"19","3.05","1.24","2"
"20","2.66","1.23","2"
"21","2.09","0.97","2"
"22","2.75","1.21","2"
"23","3.11","1.4","2"
"24","2.58","1.04","2"
"25","3.84","1.9","2"
"26","1.8","1.18","2"
"27","3.36","1.44","2"
"28","2.56","1.11","2"
"29","2.32","1.2","2"
"30","2.45","0.97","2"
"31","4.08","1.86","2"
"32","3.14","1.3","2"
"33","3.11","1.33","2"
"34","3.58","1.34","2"
"35","2.65","1.24","2"
"36","3.14","1.55","2"
"37","3.05","1.34","2"
"38","3.75","1.6","2"
"39","2.65","1.13","2"
"40","4.04","2","2"
"41","2.31","0.93","2"
"42","2.57","1.05","2"
"43","2.49","1.05","2"
"44","2.54","1.05","2"
"45","2.61","1.05","2"
"46","2.54","1.06","2"
"47","4.25","2.06","2"
"48","3.31","1.56","2"
"49","3.15","1.32","2"
"50","2.61","1.05","2"
"51","2.88","1.17","2"
"52","3.48","1.75","2"
"53","3.24","1.27","2"
"54","3.22","1.41","2"
"55","2.61","1.05","2"
"56","2.95","1.22","2"
"57","2.63","1.09","2"
"58","2.65","1.15","2"
"59","2.73","1.05","2"
"60","2.29","0.87","2"
"61","2.29","0.85","2"
"62","2.31","0.85","2"
"63","3.35","1.41","2"
"64","3.75","1.75","2"
"65","2.62","1","2"
"66","2.95","1.23","2"
"67","2.09","0.85","2"
"68","3.19","1.28","2"
"69","2.28","0.94","2"
"70","2.89","1.18","2"
"01","2.21","0.95","3"
"02","3.19","1.11","3"
"03","3.25","0.84","3"
"04","2.11","0.75","3"
"05","4.31","1.98","3"
"06","3.95","1.76","3"
"07","3.5","1.57","3"
"08","3.8","1.45","3"
"09","2.18","0.81","3"
"10","2.84","0.91","3"
"11","2.75","1.03","3"
"12","2.95","1.21","3"
"13","3.21","1.05","3"
"14","1.71","0.59","3"
"15","4.5","2.41","3"
"16","3.51","1.28","3"
"17","3.24","1.34","3"
"18","3.69","1.62","3"
"19","3.88","1.46","3"
"20","3.5","1.36","3"
"21","2.41","1.09","3"
"22","3.11","1.35","3"
"23","4.05","1.62","3"
"24","4.51","1.14","3"
"25","4.51","2.11","3"
"26","2.81","1.24","3"
"27","4.71","1.68","3"
"28","2.75","1.25","3"
"29","3","1.33","3"
"30","2.85","1.05","3"
"31","4.75","2.15","3"
"32","3.62","1.49","3"
"33","3.5","1.41","3"
"34","4.2","1.54","3"
"35","3.55","1.41","3"
"36","3.51","1.8","3"
"37","3.9","1.53","3"
"38","3.81","1.75","3"
"39","2.85","1.35","3"
"40","5.15","2.25","3"
"41","2.85","1.07","3"
"42","3.01","1.15","3"
"43","2.82","1.09","3"
"44","3.1","1.11","3"
"45","3.35","1.2","3"
"46","2.51","1.25","3"
"47","5.6","2.3","3"
"48","4.25","1.75","3"
"49","3.35","1.5","3"
"50","3.15","1.31","3"
"51","3.45","1.61","3"
"52","4.41","2.41","3"
"53","3.5","1.2","3"
"54","4.15","1.51","3"
"55","2.85","1.15","3"
"56","3.15","1.3","3"
"57","2.85","1.2","3"
"58","3.01","1.25","3"
"59","2.82","1.15","3"
"60","3.1","0.9","3"
"61","2.35","0.9","3"
"62","2.51","0.95","3"
"63","3.6","1.61","3"
"64","4.25","2.01","3"
"65","3.35","1.05","3"
"66","3.15","1.41","3"
"67","2.45","1.11","3"
"68","3.41","1.5","3"
"69","2.5","0.96","3"
"70","3.15","1.34","3"
"01","2.93","1.04","5"
"02","3.65","1.59","5"
"03","5.15","1.19","5"
"04","2.59","1.11","5"
"05","5.71","2.74","5"
"06","","","5"
"07","5.01","2.21","5"
"08","4.35","1.95","5"
"09","2.65","1.01","5"
"10","3.19","1.25","5"
"11","3.36","1.42","5"
"12","4.12","1.69","5"
"13","3.75","1.51","5"
"14","2.11","0.84","5"
"15","5.61","3.16","5"
"16","4.05","1.84","5"
"17","4.32","2.04","5"
"18","4.55","2.21","5"
"19","4.52","1.96","5"
"20","4.16","1.81","5"
"21","3.16","1.55","5"
"22","4.06","1.87","5"
"23","4.85","2.33","5"
"24","3.99","1.61","5"
"25","5.52","2.83","5"
"26","","","5"
"27","5.09","2.28","5"
"28","3.94","1.69","5"
"29","4.55","1.85","5"
"30","3.65","1.55","5"
"31","6.05","2.99","5"
"32","4.91","2.05","5"
"33","4.5","1.99","5"
"34","4.76","2.07","5"
"35","4.08","2.04","5"
"36","4.68","2.45","5"
"37","4.73","2.18","5"
"38","5.81","2.52","5"
"39","4.12","1.79","5"
"40","6.15","3.12","5"
"41","3.43","1.51","5"
"42","3.77","1.69","5"
"43","3.84","1.63","5"
"44","3.79","1.53","5"
"45","4.05","1.65","5"
"46","3.97","1.63","5"
"47","6.26","3.19","5"
"48","4.61","2.42","5"
"49","4.95","2.17","5"
"50","3.9","1.71","5"
"51","4.44","1.79","5"
"52","5.03","2.61","5"
"53","4.85","2.04","5"
"54","5.08","2.12","5"
"55","3.99","1.68","5"
"56","4.25","1.91","5"
"57","3.95","1.61","5"
"58","3.98","1.72","5"
"59","4.03","1.74","5"
"60","3.38","1.26","5"
"61","3.15","1.24","5"
"62","3.12","1.26","5"
"63","4.78","2.18","5"
"64","5.34","2.74","5"
"65","3.93","1.55","5"
"66","4.45","1.93","5"
"67","3.44","1.44","5"
"68","4.71","2.07","5"
"69","3.35","1.27","5"
"70","4.31","1.81","5"
"01","3.57","1.29","8"
"02","4.54","2.01","8"
"03","7.59","2.95","8"
"04","3.29","1.47","8"
"05","7.02","3.58","8"
"06","","","8"
"07","5.97","2.72","8"
"08","5.25","2.41","8"
"09","3.24","1.24","8"
"10","3.71","1.48","8"
"11","4.01","1.64","8"
"12","5.08","2.07","8"
"13","4.49","1.97","8"
"14","2.51","1.03","8"
"15","6.39","3.74","8"
"16","4.79","2.21","8"
"17","5.18","2.45","8"
"18","5.45","2.71","8"
"19","5.49","2.42","8"
"20","5.02","2.21","8"
"21","4.09","1.91","8"
"22","4.85","2.32","8"
"23","5.95","2.91","8"
"24","4.81","2.03","8"
"25","6.01","3.21","8"
"26","","","8"
"27","6.17","2.75","8"
"28","4.69","2.08","8"
"29","5.59","2.35","8"
"30","4.55","1.91","8"
"31","6.91","3.64","8"
"32","6.01","2.04","8"
"33","5.39","2.38","8"
"34","5.58","2.68","8"
"35","5.19","2.59","8"
"36","5.49","2.99","8"
"37","5.58","2.71","8"
"38","7.11","3.05","8"
"39","5.06","2.29","8"
"40","7.38","3.89","8"
"41","4.31","1.84","8"
"42","4.91","2.09","8"
"43","4.69","2.07","8"
"44","4.84","1.96","8"
"45","5.09","2.11","8"
"46","4.75","2.03","8"
"47","7.38","3.84","8"
"48","5.23","2.72","8"
"49","5.78","2.67","8"
"50","4.28","2.07","8"
"51","5.25","2.15","8"
"52","5.42","3.01","8"
"53","5.59","2.54","8"
"54","5.92","2.63","8"
"55","4.86","2.04","8"
"56","5.38","2.33","8"
"57","5.02","2.04","8"
"58","4.85","2.07","8"
"59","4.85","2.15","8"
"60","4.13","1.65","8"
"61","4.05","1.56","8"
"62","","","8"
"63","5.71","2.68","8"
"64","6.02","3.16","8"
"65","4.71","1.94","8"
"66","5.39","2.47","8"
"67","","","8"
"68","5.82","2.45","8"
"69","4.01","1.69","8"
"70","5.29","2.11","8"
"01","5.25","2.88","10"
"02","5.25","2.29","10"
"03","8.36","3.23","10"
"04","3.73","1.59","10"
"05","7.95","4.24","10"
"06","","","10"
"07","6.89","3.09","10"
"08","6.08","2.75","10"
"09","3.56","1.91","10"
"10","4.11","1.64","10"
"11","4.31","1.75","10"
"12","5.77","2.38","10"
"13","4.95","2.15","10"
"14","2.92","1.22","10"
"15","6.61","4.03","10"
"16","5.42","2.52","10"
"17","5.92","2.83","10"
"18","6.13","3.15","10"
"19","6.21","2.79","10"
"20","5.62","2.04","10"
"21","4.59","2.24","10"
"22","5.42","2.97","10"
"23","6.59","3.55","10"
"24","5.59","2.33","10"
"25","6.45","3.65","10"
"26","","","10"
"27","6.85","3.26","10"
"28","5.39","2.36","10"
"29","6.49","2.82","10"
"30","5.01","2.15","10"
"31","7.87","3.98","10"
"32","6.91","3.06","10"
"33","6.01","2.72","10"
"34","6.59","3.01","10"
"35","5.88","2.99","10"
"36","6.09","3.32","10"
"37","6.15","2.95","10"
"38","7.99","3.49","10"
"39","5.68","2.48","10"
"40","8.01","4.29","10"
"41","5.01","2.21","10"
"42","5.43","2.39","10"
"43","5.32","2.49","10"
"44","5.28","2.19","10"
"45","5.71","2.55","10"
"46","5.51","2.38","10"
"47","8.59","4.65","10"
"48","5.49","2.93","10"
"49","6.61","3.07","10"
"50","5.48","2.39","10"
"51","6.08","2.49","10"
"52","6.03","3.32","10"
"53","6.55","2.95","10"
"54","6.71","3.03","10"
"55","5.65","2.37","10"
"56","6.09","2.73","10"
"57","5.45","2.26","10"
"58","5.32","2.45","10"
"59","5.82","2.59","10"
"60","4.62","1.75","10"
"61","4.55","1.81","10"
"62","","","10"
"63","6.65","3.04","10"
"64","6.49","3.39","10"
"65","5.39","2.21","10"
"66","5.92","2.71","10"
"67","","","10"
"68","6.57","2.89","10"
"69","4.35","1.84","10"
"70","6.08","2.48","10"
"01","6.41","3.02","12"
"02","6.15","3.16","12"
"03","10.12","3.52","12"
"04","4.61","2.12","12"
"05","9.82","5.36","12"
"06","","","12"
"07","8.22","4.01","12"
"08","7.68","3.11","12"
"09","4.52","2.38","12"
"10","5.32","2.25","12"
"11","5.23","2.25","12"
"12","6.97","3.05","12"
"13","6.52","2.95","12"
"14","3.79","1.49","12"
"15","6.95","4.45","12"
"16","6.48","3.21","12"
"17","7.82","3.69","12"
"18","7.15","3.94","12"
"19","7.89","3.79","12"
"20","7.15","3.35","12"
"21","5.68","2.89","12"
"22","6.51","3.38","12"
"23","7.76","4.08","12"
"24","7.02","3.09","12"
"25","7.09","3.79","12"
"26","","","12"
"27","8.35","4.15","12"
"28","7.01","3.09","12"
"29","8.18","3.69","12"
"30","6.47","2.85","12"
"31","8.99","4.83","12"
"32","8.45","3.88","12"
"33","7.78","3.61","12"
"34","8.19","3.75","12"
"35","7.42","3.93","12"
"36","6.53","3.89","12"
"37","7.19","3.51","12"
"38","9.95","4.75","12"
"39","","","12"
"40","9.31","5.21","12"
"41","6.63","3.01","12"
"42","6.92","3.16","12"
"43","6.53","2.95","12"
"44","6.87","3.11","12"
"45","7.52","3.42","12"
"46","6.83","3.12","12"
"47","10.21","5.69","12"
"48","6.05","3.25","12"
"49","8.09","3.98","12"
"50","7.12","3.15","12"
"51","7.82","3.35","12"
"52","6.65","3.82","12"
"53","8.18","3.75","12"
"54","7.91","3.74","12"
"55","7.18","3.21","12"
"56","7.42","3.41","12"
"57","6.95","3.05","12"
"58","6.66","3.05","12"
"59","7.52","3.48","12"
"60","5.99","2.51","12"
"61","5.89","2.42","12"
"62","","","12"
"63","8.31","4.12","12"
"64","7.32","3.98","12"
"65","6.72","2.79","12"
"66","7.25","3.46","12"
"67","","","12"
"68","8.09","3.75","12"
"69","5.71","2.91","12"
"70","7.61","3.29","12"
"01","7.77","3.05","14"
"02","","","14"
"03","11.51","3.85","14"
"04","5.91","2.88","14"
"05","11.7","6.05","14"
"06","","","14"
"07","10.18","5.06","14"
"08","9.4","4.71","14"
"09","6.38","2.81","14"
"10","6.73","3.05","14"
"11","6.95","3.12","14"
"12","8.49","3.88","14"
"13","7.55","4.01","14"
"14","5.09","2.26","14"
"15","7.71","4.95","14"
"16","7.82","3.98","14"
"17","9.69","4.65","14"
"18","8.46","4.64","14"
"19","10.01","5.02","14"
"20","8.71","4.37","14"
"21","6","3.55","14"
"22","8.07","4.05","14"
"23","9.09","5.13","14"
"24","9.25","4.39","14"
"25","7.72","4.21","14"
"26","","","14"
"27","10.09","5.05","14"
"28","8.02","3.93","14"
"29","10.02","4.65","14"
"30","8.32","3.88","14"
"31","10.22","5.62","14"
"32","10.12","4.91","14"
"33","9.79","4.76","14"
"34","10.02","5.02","14"
"35","9.36","5.08","14"
"36","7.83","4.32","14"
"37","8.29","4.06","14"
"38","12.1","5.38","14"
"39","","","14"
"40","10.71","5.71","14"
"41","8.55","4.11","14"
"42","9.14","4.47","14"
"43","8.69","4.28","14"
"44","8.58","3.97","14"
"45","8.95","4.35","14"
"46","8.49","3.63","14"
"47","11.79","6.81","14"
"48","6.48","3.68","14"
"49","8.79","4.92","14"
"50","8.95","4.37","14"
"51","","","14"
"52","7.07","4.27","14"
"53","9.95","4.87","14"
"54","9.15","4.05","14"
"55","8.93","4.14","14"
"56","9.01","4.51","14"
"57","8.13","4.18","14"
"58","8.12","3.24","14"
"59","9.5","4.61","14"
"60","7.98","3.55","14"
"61","7.91","3.15","14"
"62","","","14"
"63","10.11","5.52","14"
"64","7.93","4.4","14"
"65","8.51","3.81","14"
"66","8.81","4.45","14"
"67","","","14"
"68","9.75","4.95","14"
"69","7.71","3.45","14"
"70","9.62","4.91","14"
"01","7.94","3.27","16"
"02","","4.91","16"
"03","11.53","4.25","16"
"04","6.39","5.62","16"
"05","12.61","7.49","16"
"06","","","16"
"07","11.25","5.75","16"
"08","11.11","5.78","16"
"09","7.85","3.55","16"
"10","8.12","3.81","16"
"11","8.46","3.91","16"
"12","9.71","4.63","16"
"13","9.01","4.92","16"
"14","6.65","3.12","16"
"15","8.28","4.99","16"
"16","8.81","4.52","16"
"17","10.72","5.51","16"
"18","9.19","5.29","16"
"19","11.69","6.05","16"
"20","10.39","5.15","16"
"21","7.36","4.05","16"
"22","8.68","4.69","16"
"23","9.99","5.51","16"
"24","10.33","5.12","16"
"25","8.11","4.45","16"
"26","","","16"
"27","11.05","5.72","16"
"28","8.93","4.58","16"
"29","11.09","5.21","16"
"30","9.96","4.65","16"
"31","10.49","6.12","16"
"32","11.21","5.61","16"
"33","11.39","5.71","16"
"34","11.39","5.91","16"
"35","10.63","6.02","16"
"36","8.15","4.68","16"
"37","8.56","4.28","16"
"38","13.68","6.82","16"
"39","","","16"
"40","11.49","6.72","16"
"41","10.09","5.24","16"
"42","10.43","5.35","16"
"43","9.81","5.03","16"
"44","9.74","4.69","16"
"45","10.69","5.34","16"
"46","9.01","4.51","16"
"47","12.31","7.15","16"
"48","6.72","3.75","16"
"49","10.62","5.05","16"
"50","10.19","5.08","16"
"51","","","16"
"52","7.23","4.38","16"
"53","10.79","5.28","16"
"54","9.82","4.63","16"
"55","9.81","4.81","16"
"56","9.82","5.21","16"
"57","9.66","4.84","16"
"58","9.01","4.51","16"
"59","10.56","5.06","16"
"60","9.29","4.35","16"
"61","9.67","4.26","16"
"62","","","16"
"63","","","16"
"64","8.35","4.51","16"
"65","9.65","4.51","16"
"66","9.45","4.75","16"
"67","","","16"
"68","10.79","5.56","16"
"69","9.15","4.21","16"
"70","10.98","5.16","16"
"01","8.79","3.83","18"
"02","","","18"
"03","12.19","5.06","18"
"04","7.25","6.62","18"
"05","13.27","7.97","18"
"06","","","18"
"07","11.96","6.29","18"
"08","12.08","6.54","18"
"09","8.98","4.35","18"
"10","9.08","4.32","18"
"11","9.77","4.57","18"
"12","10.67","5.06","18"
"13","10.81","5.52","18"
"14","8.23","4.02","18"
"15","8.28","5.14","18"
"16","9.27","4.88","18"
"17","11.51","6.02","18"
"18","9.69","5.55","18"
"19","13.01","6.82","18"
"20","10.95","5.78","18"
"21","7.67","4.24","18"
"22","9.27","5.02","18"
"23","10.32","5.83","18"
"24","11.18","5.69","18"
"25","8.22","4.51","18"
"26","","","18"
"27","11.75","6.14","18"
"28","9.59","4.84","18"
"29","11.72","5.75","18"
"30","11.7","5.46","18"
"31","10.98","6.32","18"
"32","12.28","6.12","18"
"33","12.39","6.36","18"
"34","12.12","6.56","18"
"35","11.39","6.55","18"
"36","8.28","4.83","18"
"37","8.85","4.52","18"
"38","14.29","7.36","18"
"39","","","18"
"40","11.99","6.92","18"
"41","11.23","6.18","18"
"42","11.71","6.02","18"
"43","10.51","5.63","18"
"44","10.58","5.28","18"
"45","11.62","5.85","18"
"46","9.52","4.68","18"
"47","12.98","7.57","18"
"48","6.86","3.86","18"
"49","11.21","5.96","18"
"50","11.16","5.73","18"
"51","","","18"
"52","7.49","4.44","18"
"53","11.49","5.64","18"
"54","10.31","5.18","18"
"55","10.61","5.27","18"
"56","10.58","5.58","18"
"57","10.42","5.21","18"
"58","9.61","4.86","18"
"59","11.38","5.59","18"
"60","10.31","5.02","18"
"61","10.12","4.92","18"
"62","","","18"
"63","","","18"
"64","8.44","4.58","18"
"65","10.85","4.96","18"
"66","10.05","4.92","18"
"67","","","18"
"68","11.29","5.84","18"
"69","10.61","4.97","18"
"70","12.1","5.85","18"
"01","9.19","4.18","20"
"02","","","20"
"03","12.98","6.1","20"
"04","","","20"
"05","13.71","8.31","20"
"06","","","20"
"07","13.08","6.79","20"
"08","13.08","7.08","20"
"09","10.18","5.12","20"
"10","10.02","4.84","20"
"11","10.65","5.21","20"
"12","11.45","5.51","20"
"13","11.75","5.99","20"
"14","9.82","4.88","20"
"15","8.29","5.17","20"
"16","9.95","5.26","20"
"17","12.72","6.59","20"
"18","10.22","5.92","20"
"19","14.39","7.71","20"
"20","11.69","6.35","20"
"21","8.15","4.42","20"
"22","9.59","5.33","20"
"23","10.71","6.06","20"
"24","12.02","6.03","20"
"25","8.32","4.55","20"
"26","","","20"
"27","11.98","6.49","20"
"28","10.23","5.31","20"
"29","12.29","5.91","20"
"30","12.31","5.96","20"
"31","11.73","6.52","20"
"32","12.91","6.51","20"
"33","13.05","6.85","20"
"34","13.04","7.08","20"
"35","12.23","7.09","20"
"36","8.72","4.97","20"
"37","9.08","4.55","20"
"38","15.6","7.87","20"
"39","","","20"
"40","12.32","7.21","20"
"41","12.71","6.92","20"
"42","12.95","6.71","20"
"43","11.29","6.15","20"
